CODIGO,NOMBRE,DEPARTAMENTO_CENTRO,MUNICIPIO_CENTRO,SECTOR,ZONA,Total matricula inicial
12921,"CENTRO ESCOLAR ""CANTON EL PAPALON""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,294
12922,"CENTRO ESCOLAR ""FEDERICO ARNOLDO GARCIA PRIETO HIRLEMANN""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,284
12923,"CENTRO ESCOLAR ""CANTON LA FRAGUA""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,244
12924,"CENTRO ESCOLAR ""DELFINA""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,209
12925,"CENTRO ESCOLAR ""CARLOS ALBERTO BORGONOVO POHL""",SAN MIGUEL,MONCAGUA,PUBLICO,Rural,327
12926,"CENTRO ESCOLAR ""MARIA LUISA PARADA""",SAN MIGUEL,MONCAGUA,PUBLICO,Urbana,799
12927,"ESCUELA DE EDUCACION PARVULARIA ""DE MONCAGUA""",SAN MIGUEL,MONCAGUA,PUBLICO,Urbana,44
12928,INSTITUTO NACIONAL DE NUEVA GUADALUPE,SAN MIGUEL,NUEVA GUADALUPE,PUBLICO,Urbana,428
12929,"CENTRO ESCOLAR ""CANTON SAN LUIS""",SAN MIGUEL,NUEVA GUADALUPE,PUBLICO,Rural,75
12930,"CENTRO ESCOLAR ""CANTON PLANES DE SAN SEBASTIAN""",SAN MIGUEL,NUEVA GUADALUPE,PUBLICO,Rural,226
12931,"CENTRO ESCOLAR ""DE NUEVA GUADALUPE""",SAN MIGUEL,NUEVA GUADALUPE,PUBLICO,Urbana,359
12932,"ESCUELA DE EDUCACION PARVULARIA ""NUEVA GUADALUPE""",SAN MIGUEL,NUEVA GUADALUPE,PUBLICO,Urbana,94
12933,"CENTRO ESCOLAR ""ERNESTO LIEBES""",SAN MIGUEL,NUEVA GUADALUPE,PUBLICO,Urbana,432
12934,"CENTRO ESCOLAR ""CASERIO LA ZUNCUYA",,,,,
12935,"CENTRO ESCOLAR ""CANTON LOS LAURELES""",SAN MIGUEL,NUEVO EDEN DE SAN JUAN,PUBLICO,Rural,9
12938,COMPLEJO EDUCATIVO DE NUEVO EDEN DE SAN JUAN,SAN MIGUEL,NUEVO EDEN DE SAN JUAN,PUBLICO,Urbana,166
12939,"CENTRO ESCOLAR ""CANTON SAN SEBASTIAN""",SAN MIGUEL,NUEVO EDEN DE SAN JUAN,PUBLICO,Rural,93
12941,"CENTRO ESCOLAR ""CASERIO LAS LOMITAS",,,,,
12942,"CENTRO ESCOLAR ""CANTON SAN ANTONIO""",SAN MIGUEL,QUELEPA,PUBLICO,Rural,158
12944,"CENTRO ESCOLAR ""ANA RITA VELEZ DE MOREIRA""",SAN MIGUEL,QUELEPA,PUBLICO,Urbana,331
12945,"CENTRO ESCOLAR ""CANTON SAN JOSE""",SAN MIGUEL,QUELEPA,PUBLICO,Rural,270
12946,"CENTRO ESCOLAR ""CANTON EL OBRAJUELO""",SAN MIGUEL,QUELEPA,PUBLICO,Rural,70
12947,"ESCUELA DE EDUCACION PARVULARIA ""DE QUELEPA""",SAN MIGUEL,QUELEPA,PUBLICO,Urbana,147
12949,"CENTRO ESCOLAR ""CASERIO EL CHILAMO",,,,,
12951,COMPLEJO EDUCATIVO BARRIO LA CRUZ,SAN MIGUEL,SAN ANTONIO,PUBLICO,Urbana,203
12954,"CENTRO ESCOLAR ""CASERIO SANTA BARBARA",,,,,
12955,"CENTRO ESCOLAR ""CASERIO EL PILON",,,,,
12957,"CENTRO ESCOLAR ""HACIENDA EL AMATILLO""",SAN MIGUEL,SAN GERARDO,PUBLICO,Rural,59
12959,"CENTRO ESCOLAR ""CANTON LA LAGUNA""",SAN MIGUEL,SAN GERARDO,PUBLICO,Rural,24
12960,"CENTRO ESCOLAR ""CANTON SAN JERONIMO""",SAN MIGUEL,SAN GERARDO,PUBLICO,Rural,42
12961,CENTRO ESCOLAR CASERIO SAN ANDRES,,,,,
12962,"COMPLEJO EDUCATIVO "" DE SAN GERARDO""",SAN MIGUEL,SAN GERARDO,PUBLICO,Urbana,320
12964,"CENTRO ESCOLAR ""CANTON CANDELARIA""",SAN MIGUEL,SAN JORGE,PUBLICO,Rural,158
